NAZWA,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DOLNOŚLĄSKIE,12069,12526,12895,13451,14442,14677,14220,13356,13232,12453,13222,12884,13306,13901,13463,12921,12640,11755,10972
KUJAWSKO-POMORSKIE,9817,9896,10292,10634,11419,11296,10912,10105,10030,9634,9678,9324,9722,9982,9590,9346,8781,8030,7285
LUBELSKIE,10102,10410,10465,10631,11282,11208,10911,10397,10567,9616,9678,9588,9684,10265,9685,9368,8724,8055,7331
LUBUSKIE,4771,4824,5041,5248,5580,5603,5284,5105,5065,4844,4734,4517,4746,4973,4608,4495,4229,3936,3502
ŁÓDZKIE,10904,10936,11292,11635,12412,12645,12492,11565,11625,10920,10936,10752,11025,11660,11097,10650,10209,9542,8938
MAŁOPOLSKIE,15378,15804,16042,16559,18048,18002,17821,17317,17071,16630,16614,16812,17618,18436,18253,18102,17149,16263,15127
MAZOWIECKIE,23644,24385,25702,26725,28118,29219,28792,27785,27828,26938,27633,27866,29109,29949,29365,28845,27648,26457,24499
OPOLSKIE,3902,4188,4038,4113,4499,4380,4161,4290,4329,3951,4180,3915,4205,4454,4177,4220,3858,3540,3262
PODKARPACKIE,10047,9873,9846,10195,10799,10853,10680,10309,10166,9962,9738,9598,9855,10625,10618,9906,9535,8656,8035
PODLASKIE,5181,5441,5294,5465,5728,5913,5506,5416,5318,5198,5209,5275,5534,5896,5824,5513,5127,4942,4506
POMORSKIE,10992,11316,11751,12326,13242,13177,12895,12159,12142,11586,12013,11987,12561,13419,12822,12615,11883,11363,10307
ŚLĄSKIE,19495,19812,20654,21268,23004,23288,23307,21495,21727,20899,20945,20210,20730,21878,20665,19755,18660,16866,15401
ŚWIĘTOKRZYSKIE,5476,5590,5512,5836,6225,6168,5983,5603,5451,5191,5254,5272,5176,5338,5201,5007,4592,4242,4043
WARMIŃSKO-MAZURSKIE,7062,7148,7469,7543,7886,7945,7675,7129,6957,6578,6767,6380,6597,7172,6647,6279,5879,5126,4848
WIELKOPOLSKIE,16208,17049,17467,18486,19849,19682,19875,18550,18330,17789,17871,17833,18524,19675,18903,18189,17419,16370,14889
ZACHODNIOPOMORSKIE,7661,7800,7966,8420,9020,8625,8358,7914,7723,7470,7597,7418,7644,7949,7440,7058,6676,6232,5742
